track_id,group,source_url,license_type,downloaded_at,redistribution_allowed,notes
focus_jamendo_1542218,focus,https://www.jamendo.com/track/1542218,Creative Commons Attribution-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-sa/3.0/
focus_jamendo_1156277,focus,https://www.jamendo.com/track/1156277,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2002309,focus,https://www.jamendo.com/track/2002309,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1127596,focus,https://www.jamendo.com/track/1127596,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1442910,focus,https://www.jamendo.com/track/1442910,Creative Commons Attribution-Non-Commercial license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc/3.0/
focus_jamendo_1097142,focus,https://www.jamendo.com/track/1097142,Creative Commons Attribution-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-sa/3.0/
focus_jamendo_1811125,focus,https://www.jamendo.com/track/1811125,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2027199,focus,https://www.jamendo.com/track/2027199,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1989577,focus,https://www.jamendo.com/track/1989577,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1900840,focus,https://www.jamendo.com/track/1900840,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1617037,focus,https://www.jamendo.com/track/1617037,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_2004625,focus,https://www.jamendo.com/track/2004625,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_2034860,focus,https://www.jamendo.com/track/2034860,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1885488,focus,https://www.jamendo.com/track/1885488,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1128887,focus,https://www.jamendo.com/track/1128887,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1945054,focus,https://www.jamendo.com/track/1945054,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
focus_jamendo_1900865,focus,https://www.jamendo.com/track/1900865,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1101393,focus,https://www.jamendo.com/track/1101393,Creative Commons Attribution-Non-Commercial-Share-Alike license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-sa/3.0/
focus_jamendo_1931218,focus,https://www.jamendo.com/track/1931218,Creative Commons Attribution-Non-Commercial-No Derivatives license,2026-08-01,true,jamendo-api-open-focus; redistribution subject to per-track CC terms (attribution and NC/ND/SA where applicable); license URL: http://creativecommons.org/licenses/by-nc-nd/3.0/
