track_id,group,relative_path,sha256,duration_seconds,sample_rate,channels,artist_key,album_key,composer_key,instrumental,restricted
focus_jamendo_1985295,focus,focus_music/focus_jamendo_1985295.mp3,a630b45a127f8aef06c7b6c3da426d0a7005faea6a8f6afa5d096d23168f3664,471.928,44100,2,jamendo_artist_516768,jamendo_album_502190,,true,false
focus_jamendo_1898926,focus,focus_music/focus_jamendo_1898926.mp3,d50c2b9490df24b90c44d8bd74f133f41feb7316279d92a02b760bda7a234198,272.065,44100,2,jamendo_artist_540821,jamendo_album_461555,,true,false
focus_jamendo_1994905,focus,focus_music/focus_jamendo_1994905.mp3,428db27a3e5e3b384964a996f56dff970a31da1bf917a6ef755fb3db1ccc95ac,470.465,44100,2,jamendo_artist_552678,jamendo_album_506632,,true,false
focus_jamendo_1092684,focus,focus_music/focus_jamendo_1092684.mp3,f6d60f9619b6f32a9af54448a82337cc3b1d0cffd10594d1b831b49f6458f6ea,630.000,44100,2,jamendo_artist_370882,jamendo_album_130240,,true,false
focus_jamendo_1699096,focus,focus_music/focus_jamendo_1699096.mp3,9850520eae1fcb5a616730cc07739b85d8025ab0e0dc9114eb962931e5a75c6a,244.000,44100,2,jamendo_artist_463637,jamendo_album_439588,,true,false
focus_jamendo_2032187,focus,focus_music/focus_jamendo_2032187.mp3,a96d0b55cd5776add8e38f249d40f61c7de109f8a9842fdf143654643068de55,319.000,44100,2,jamendo_artist_546016,jamendo_album_521087,,true,false
focus_jamendo_1902125,focus,focus_music/focus_jamendo_1902125.mp3,769dcf74360a3dc2d17a2a1fb41f40005a6889a9586bd5d865644e37d9f0f0ae,240.000,44100,2,jamendo_artist_508884,jamendo_album_462976,,true,false
focus_jamendo_2257645,focus,focus_music/focus_jamendo_2257645.mp3,512309272f70a669c875c87e4bfb4f570de5f7f63689118a143b04e0f527514b,440.059,44100,2,jamendo_artist_599717,jamendo_album_605161,,true,false
focus_jamendo_2129421,focus,focus_music/focus_jamendo_2129421.mp3,f716c6549ab412a0a070a122e34ea5647896b956bcacb55cd684d9417462f074,242.599,44100,2,jamendo_artist_546016,jamendo_album_547322,,true,false
focus_jamendo_1935622,focus,focus_music/focus_jamendo_1935622.mp3,c2a25e65514baafaf0a6e00ec6285580bc2ae5816a0bb39f99ab0a06ceff94c4,600.059,44100,2,jamendo_artist_528815,jamendo_album_478668,,true,false
focus_jamendo_1575999,focus,focus_music/focus_jamendo_1575999.mp3,4029557aff9146cb448ca98894a0c1bd3ebad6c220c5ca56557abc250f736bd6,430.054,44100,2,jamendo_artist_507576,jamendo_album_179320,,true,false
focus_jamendo_1957922,focus,focus_music/focus_jamendo_1957922.mp3,3ebcf3135bab6b7bc11f0f5aaf447d224657ca353c4d41eba6ab28ede8adaa64,171.000,44100,2,jamendo_artist_545923,jamendo_album_488788,,true,false
focus_jamendo_1866931,focus,focus_music/focus_jamendo_1866931.mp3,83df60bb71e97f9cd9e2f4d211b691255dad2f1055f680aae9e63093a5115f66,597.891,44100,2,jamendo_artist_528815,jamendo_album_446649,,true,false
focus_jamendo_1969508,focus,focus_music/focus_jamendo_1969508.mp3,66393324438b36bc5e0f691ac98aac3a507c1f01579985d252c354723fd717d5,133.000,44100,2,jamendo_artist_522843,jamendo_album_493986,,true,false
focus_jamendo_1705713,focus,focus_music/focus_jamendo_1705713.mp3,25f5000699331e541cd96dab3211d779b44cc2f3e6a9d26a8fb810507a0c6d86,124.000,44100,2,jamendo_artist_463637,jamendo_album_439700,,true,false
focus_jamendo_1978794,focus,focus_music/focus_jamendo_1978794.mp3,b1e029cdb2be8d4df02321c0c792a2046d06d293fff7081cc05fa4ad2fce1bfa,488.000,44100,2,jamendo_artist_345064,jamendo_album_499094,,true,false
focus_jamendo_2274006,focus,focus_music/focus_jamendo_2274006.mp3,f169fc6d89de142ef788a6103bf63f3a97e2441faa28d7f648e9e41ba87f4857,159.425,44100,2,jamendo_artist_601217,jamendo_album_612659,,true,false
focus_jamendo_2032670,focus,focus_music/focus_jamendo_2032670.mp3,cd5797fc32e030823a724cb4e9b86b990697952b20e4176d202b77340305124c,164.000,44100,2,jamendo_artist_554152,jamendo_album_521340,,true,false
focus_jamendo_2027198,focus,focus_music/focus_jamendo_2027198.mp3,f7ee00c6730a5296e3dda9722166c287ad9a39e2641b9860a923ec05149fa90f,585.000,44100,2,jamendo_artist_462377,jamendo_album_518976,,true,false
focus_jamendo_1704604,focus,focus_music/focus_jamendo_1704604.mp3,449df509005b3379a7226f00d8012bfccd1bff9edcb3e633890960ee01813b01,248.000,44100,2,jamendo_artist_463637,jamendo_album_439648,,true,false
focus_jamendo_1978485,focus,focus_music/focus_jamendo_1978485.mp3,8f8a185ece1feddee2be9424f788ed2cbb8a2ade3c81a46327e871ddb79b59b9,336.000,44100,2,jamendo_artist_545923,jamendo_album_498925,,true,false
focus_jamendo_2005033,focus,focus_music/focus_jamendo_2005033.mp3,9f1a74b1a9eccaaf7ccb98d17011bd9bc757c182ec52df95801ffe438c005202,599.000,44100,2,jamendo_artist_475727,jamendo_album_511190,,true,false
focus_jamendo_1923890,focus,focus_music/focus_jamendo_1923890.mp3,c10ffff7436891a76e45fb1170c5e6edbfc98eb1c14e9cbdc689dc29de61e7bc,193.071,44100,2,jamendo_artist_536209,jamendo_album_473510,,true,false
focus_jamendo_2005032,focus,focus_music/focus_jamendo_2005032.mp3,330582ee93bb46f380ec7897656bb89c7ed505124490682d5402509330977c0b,521.117,44100,2,jamendo_artist_475727,jamendo_album_511191,,true,false
focus_jamendo_2023746,focus,focus_music/focus_jamendo_2023746.mp3,d8716c3bc0aef75f01230d3979c96734515c42933b261d1dbb961f892f1ca5d5,190.563,44100,2,jamendo_artist_554152,jamendo_album_517450,,true,false
focus_jamendo_1864786,focus,focus_music/focus_jamendo_1864786.mp3,7fe1da7aa899d8b4a565384d729b281f16a5193dee32a6bac7054fe9d9d48155,476.918,44100,2,jamendo_artist_537530,jamendo_album_445803,,true,false
focus_jamendo_1879434,focus,focus_music/focus_jamendo_1879434.mp3,c6f181b545890a6b778ec880dcafa62279a18ad39f43bd1644e8200cf629baa8,600.059,44100,2,jamendo_artist_508688,jamendo_album_452126,,true,false
focus_jamendo_1981814,focus,focus_music/focus_jamendo_1981814.mp3,63848de377ada5be22ad1e2cb414437a069805fd0d0ca6175fee8a2035f54106,394.606,44100,2,jamendo_artist_551113,jamendo_album_500571,,true,false
focus_jamendo_1842472,focus,focus_music/focus_jamendo_1842472.mp3,bea88157f97cf02c18e671aac1cca8b3a081ac75b894da218884a8470a61e2db,468.454,44100,2,jamendo_artist_536407,jamendo_album_200486,,true,false
focus_jamendo_1549291,focus,focus_music/focus_jamendo_1549291.mp3,6cc16a06e62da5258714d3975f4ac886f522260cd0c9dbfa8869097948819b40,168.072,44100,2,jamendo_artist_508679,jamendo_album_377944,,true,false
focus_jamendo_1983239,focus,focus_music/focus_jamendo_1983239.mp3,b4a16de2dc5ddd65ec4680371bbad772508315dc4eec8b98ba1638615f3ef884,379.272,44100,2,jamendo_artist_535404,jamendo_album_501304,,true,false
focus_jamendo_2019707,focus,focus_music/focus_jamendo_2019707.mp3,13be25481ccabe731a5d15308bacf85aa599400b915225d10c0b4756cff73bdb,428.069,44100,2,jamendo_artist_488420,jamendo_album_516072,,true,false
focus_jamendo_1983242,focus,focus_music/focus_jamendo_1983242.mp3,505dba1418bf42c5c7335f7b6aba680e9a81ff796694a4f73c26a18d937c1084,280.242,44100,2,jamendo_artist_535404,jamendo_album_501304,,true,false
focus_jamendo_2266423,focus,focus_music/focus_jamendo_2266423.mp3,8af72f70043f1fc1c5399d3e924ed19c112a425af00b8209a577a58b02eac9d8,352.366,44100,2,jamendo_artist_515330,jamendo_album_609046,,true,false
focus_jamendo_2208659,focus,focus_music/focus_jamendo_2208659.mp3,45f16618c364ebf51c8671ca761f9d8c42573ba23c0c39d0eb4bd86dd74072e3,258.821,44100,2,jamendo_artist_556826,jamendo_album_582071,,true,false
focus_jamendo_2022629,focus,focus_music/focus_jamendo_2022629.mp3,d65e25fb5538192e6e10c0eeaa654a78317342ffb39ffb622b259700c3b26ad1,480.052,44100,2,jamendo_artist_484615,jamendo_album_517050,,true,false
focus_jamendo_2234790,focus,focus_music/focus_jamendo_2234790.mp3,414d63ae863ee71d571d3fa70b05671dc160af505233579daef197b3e5a59a83,260.075,44100,2,jamendo_artist_595802,jamendo_album_594519,,true,false
focus_jamendo_2209988,focus,focus_music/focus_jamendo_2209988.mp3,db9cb57a5d223ccdbbd5821f61468ecfff51b24b9d75f8f49d7e1b4a7281a959,561.502,44100,2,jamendo_artist_489261,jamendo_album_582792,,true,false
focus_jamendo_2060537,focus,focus_music/focus_jamendo_2060537.mp3,b926af2f4e97d8514074e999709eb4be241da779a6fb4e2602b2399d17425e5d,235.703,44100,2,jamendo_artist_530744,jamendo_album_530411,,true,false
focus_jamendo_1685030,focus,focus_music/focus_jamendo_1685030.mp3,fe1c7149e59b72cb0dda90d2436f459ba40af2dc1120b0c2e94d8e5aa37290e2,197.000,44100,2,jamendo_artist_359341,jamendo_album_187683,,true,false
focus_jamendo_1797025,focus,focus_music/focus_jamendo_1797025.mp3,028f230d55ab4f60d782349bf043e9ff7798efaca48616279892469f16001f5e,246.073,44100,2,jamendo_artist_494669,jamendo_album_406873,,true,false
focus_jamendo_2255191,focus,focus_music/focus_jamendo_2255191.mp3,b87601b48c88e81272aba1c0d85e8d41f4356693d10ce5e772d5843087cb9f2a,388.624,44100,2,jamendo_artist_599717,jamendo_album_603971,,true,false
focus_jamendo_1785989,focus,focus_music/focus_jamendo_1785989.mp3,e8a57f87b328d3eb6f239f624b36bec1ad89bc7266aebea996e83fda85d048ec,288.000,44100,2,jamendo_artist_508884,jamendo_album_417046,,true,false
focus_jamendo_2160682,focus,focus_music/focus_jamendo_2160682.mp3,7670f9b531a366cf88379e656d6e5f54c0d0e5aa603e64dddbd9dc2705db0110,1069.296,44100,2,jamendo_artist_427251,jamendo_album_562342,,true,false
focus_jamendo_1056129,focus,focus_music/focus_jamendo_1056129.mp3,9d61f202afeb8e2dc7fbba176e34f1155d587053ffbe79b362742754214f8cc9,328.000,44100,2,jamendo_artist_436517,jamendo_album_124520,,true,false
focus_jamendo_1621763,focus,focus_music/focus_jamendo_1621763.mp3,3c5177b7062de86205733d8a9ca04225ec8366157f13a9b7c16c5e01b253e43f,357.433,44100,2,jamendo_artist_456883,jamendo_album_296848,,true,false
focus_jamendo_1357893,focus,focus_music/focus_jamendo_1357893.mp3,ffd9c7fabe61005ef025d3138570d36636094e9d843c1cf3f7e7ae3d1b53a24c,338.704,44100,2,jamendo_artist_491308,jamendo_album_215827,,true,false
focus_jamendo_1522335,focus,focus_music/focus_jamendo_1522335.mp3,0e6eb4709efdcf5602521eab39c49c2f5c7827ffcf38314dc6fdebc9b78ded5d,255.000,44100,2,jamendo_artist_435992,jamendo_album_174880,,true,false
focus_jamendo_1522321,focus,focus_music/focus_jamendo_1522321.mp3,ae9a227689c43c775f91f48e571d2005a0918334c6642c4048bd5260970cf355,296.000,44100,2,jamendo_artist_435992,jamendo_album_174881,,true,false
focus_jamendo_1798108,focus,focus_music/focus_jamendo_1798108.mp3,61fe215fd03773475d0db28d4e48a80ba689c2cb6e7e279dc0d1849dead168eb,645.747,44100,2,jamendo_artist_002838,jamendo_album_196715,,true,false
focus_jamendo_1842470,focus,focus_music/focus_jamendo_1842470.mp3,19d92e7a3757c6fd0b2f455f3359aa2a9c261d3ec735abf83ea9a82c312460ed,404.062,44100,2,jamendo_artist_536407,jamendo_album_200486,,true,false
focus_jamendo_2165080,focus,focus_music/focus_jamendo_2165080.mp3,cfe8fa182743d2c98b337cf8304c17486de7f504ca751927ce862e9718ac7330,211.801,44100,2,jamendo_artist_485003,jamendo_album_563935,,true,false
focus_jamendo_1900437,focus,focus_music/focus_jamendo_1900437.mp3,0e883f69aaa2610f25633cbde3c5ce06ead23d1980b247e8f4d6faebb8d1f979,364.800,44100,2,jamendo_artist_542588,jamendo_album_462114,,true,false
