analysis_set,scale_seconds,comparison,candidate,baseline,family,metric,candidate_score,baseline_score,delta,bootstrap_resamples,ci_low,ci_high,positive_fraction
exploratory_validation_180,180.0,add_rhythm,local,pitch_modulation,leave-one-view-out,macro_f1,0.9331662489557226,0.9247439202843007,0.008422328671421897,1000,0.0,0.02556309129796435,0.624
exploratory_validation_180,180.0,add_rhythm,local,pitch_modulation,leave-one-view-out,macro_auroc_ovr,0.9891666666666666,0.9863888888888888,0.002777777777777879,1000,-0.0039027777777779376,0.010833333333333361,0.783
exploratory_validation_180,180.0,add_rhythm,local,pitch_modulation,leave-one-view-out,macro_auprc,0.9896314325159444,0.9870451767931929,0.002586255722751507,1000,-0.004113626516670091,0.009809950593102568,0.788
exploratory_validation_180,180.0,add_modulation,local,pitch_rhythm,leave-one-view-out,balanced_accuracy,0.9333333333333333,0.9333333333333333,0.0,1000,-0.025000000000000022,0.02499999999999991,0.35
exploratory_validation_180,180.0,add_modulation,local,pitch_rhythm,leave-one-view-out,macro_f1,0.9331662489557226,0.9330357142857143,0.00013053467000834207,1000,-0.02489352247547949,0.025369017451968616,0.513
exploratory_validation_180,180.0,add_modulation,local,pitch_rhythm,leave-one-view-out,macro_auroc_ovr,0.9891666666666666,0.9863888888888889,0.002777777777777768,1000,-0.0033333333333334103,0.011944444444444428,0.724
exploratory_validation_180,180.0,add_modulation,local,pitch_rhythm,leave-one-view-out,macro_auprc,0.9896314325159444,0.9871258671875403,0.00250556532840418,1000,-0.0031817093337408423,0.010882600416810684,0.724
exploratory_validation_180,180.0,add_structure,hierarchical,local,hierarchical increment,balanced_accuracy,0.9083333333333333,0.9333333333333333,-0.025000000000000022,1000,-0.05833333333333335,0.0,0.0
exploratory_validation_180,180.0,add_structure,hierarchical,local,hierarchical increment,macro_f1,0.9078147915357218,0.9331662489557226,-0.02535145742000089,1000,-0.059197611775866556,0.0,0.0
exploratory_validation_180,180.0,add_structure,hierarchical,local,hierarchical increment,macro_auroc_ovr,0.9813888888888889,0.9891666666666666,-0.007777777777777772,1000,-0.018895833333333393,0.0002916666666668023,0.032
exploratory_validation_180,180.0,add_structure,hierarchical,local,hierarchical increment,macro_auprc,0.982330620489966,0.9896314325159444,-0.0073008120259784315,1000,-0.017316391545778256,0.00042966570368836764,0.037
sensitivity_validation_300,300.0,local_vs_pitch,local,pitch,local fusion vs single view,balanced_accuracy,0.9416666666666667,0.9333333333333333,0.008333333333333304,1000,-0.01666666666666672,0.03333333333333344,0.604
