role,comparison,split,scale_seconds,representation,metric,n_focus,n_comparator,focus_median,comparator_median,rank_biserial_focus_minus_comparator,p_value,p_fdr_bh,effect_300,scale_spearman,direction_agreement,eligible,selection_score,selected
exploration,focus_vs_pop,discovery,180.0,onset_delay,h0_q75_persistence,24,24,0.522197887301445,0.5551373958587646,-0.19444444444444442,0.2524616383129348,0.7812456769918186,-0.00347222222222221,0.5079747893755225,True,False,0.09877287571190715,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h0_q75_persistence,24,24,0.5680238008499146,0.5487780719995499,0.16319444444444442,0.3376525357692982,0.8441313394232456,0.32291666666666674,0.581484339828928,True,False,0.09489501379152643,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h1_persistence_entropy,24,24,0.8871209782478802,0.7749855322242583,0.2881944444444444,0.08892020657765104,0.4149609640290382,0.21875,0.3087979934400927,True,False,0.0889938661650267,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h0_total_persistence,24,24,11.17253664508462,10.86833468079567,0.11111111111111116,0.5160029354435863,0.8898776205621819,-0.03819444444444442,0.661650266898193,False,False,0.07351669632202147,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h1_total_persistence,24,24,0.18272720277309418,0.13849245011806488,0.2569444444444444,0.1296345808790129,0.4776010874489949,0.40625,0.28310502283105027,True,False,0.07274226281075596,False
exploration,focus_vs_pop,discovery,180.0,chroma,h1_total_persistence,24,24,0.34919334948062897,0.2203088104724884,0.20833333333333326,0.21987171062870314,0.7329057020956772,0.29166666666666674,0.33687053829828295,True,False,0.07018136214547559,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h0_q75_persistence,24,24,0.600691094994545,0.6191664785146713,-0.12152777777777779,0.4768500218436187,0.8898776205621819,0.07291666666666674,0.5612579587111712,False,False,0.0682084324822604,False
exploration,focus_vs_pop,discovery,180.0,modulation,h1_prominent_count,24,24,0.0,0.0,-0.16666666666666663,0.12926604676809492,0.4776010874489949,0.00694444444444442,0.4062463457783507,False,False,0.06770772429639177,False
exploration,focus_vs_pop,discovery,180.0,modulation_delay,h0_max_persistence,24,24,0.8886315226554871,0.9147058427333832,-0.11458333333333337,0.5027693732325637,0.8898776205621819,-0.4340277777777778,0.5649237893112098,True,False,0.06473085085857615,False
exploration,focus_vs_pop,discovery,180.0,acoustic_pca,h1_mean_persistence,24,24,0.04174356162548065,0.03062473237514496,0.32291666666666674,0.05647943963383297,0.30412005956679294,0.2777777777777777,0.19094475528972926,True,False,0.06165924389564176,False
